name,id,enabled,created_date,last_updated_date,customer_id,description,value,stage_keys,tags_src,title,tags,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx
faculdade-link-pagamento-key,dgqy2x4ke9,true,2025-10-02T15:04:15-03:00,2025-10-02T15:04:15-03:00,,Managed by Terraform,,[],,faculdade-link-pagamento-key,,"[""arn:aws:apigateway:sa-east-1::/apikeys/dgqy2x4ke9""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
schedule-validation-api-key,et7n2ovw42,true,2024-08-08T10:51:59-03:00,2024-08-08T10:51:59-03:00,,,,[],,schedule-validation-api-key,,"[""arn:aws:apigateway:sa-east-1::/apikeys/et7n2ovw42""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
developer-key-prd,lzlb4zkck3,true,2022-12-06T17:28:23-03:00,2022-12-06T17:28:23-03:00,,Key for developer to access the FHIR Api,,"[""dm05mbmqx5/prd""]","{""FHIR_SERVICE"":""fhir-service-sa-east-1-prd"",""STAGE"":""prd"",""hsl:operation:map-at"":""2022-12-07 05:00:33"",""map-migrated"":""d-server-02rouei8domo00""}",developer-key-prd,"{""FHIR_SERVICE"":""fhir-service-sa-east-1-prd"",""STAGE"":""prd"",""hsl:operation:map-at"":""2022-12-07 05:00:33"",""map-migrated"":""d-server-02rouei8domo00""}","[""arn:aws:apigateway:sa-east-1::/apikeys/lzlb4zkck3""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
cc-integracao-salesforce-apikey,s9jve715v3,true,2024-08-22T15:19:14-03:00,2024-08-22T15:19:14-03:00,,CloudFormation API Key V1,,"[""gdfnlkz7m8/prod""]",,cc-integracao-salesforce-apikey,,"[""arn:aws:apigateway:us-east-1::/apikeys/s9jve715v3""]",aws,us-east-1,802274005479,aws_autcentcirurgicoprd,"{""connection_name"":""aws_autcentcirurgicoprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_autcentcirurgicoprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
api-key-prod,0w2oiy0286,true,2023-02-09T09:31:45-03:00,2023-02-09T09:31:45-03:00,,CloudFormation API Key V1,,"[""yl1hfs0d9d/prod""]",,api-key-prod,,"[""arn:aws:apigateway:us-east-1::/apikeys/0w2oiy0286""]",aws,us-east-1,802274005479,aws_autcentcirurgicoprd,"{""connection_name"":""aws_autcentcirurgicoprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_autcentcirurgicoprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
devportal,uegaguhjpe,true,2021-08-27T19:32:48-03:00,2021-08-27T19:32:48-03:00,,,,[],,devportal,,"[""arn:aws:apigateway:us-east-1::/apikeys/uegaguhjpe""]",aws,us-east-1,800735908691,aws_cscprd,"{""connection_name"":""aws_cscprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_cscprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
devportal-backend-Key,zt46zochqe,true,2022-03-04T15:01:35-03:00,2022-03-04T15:01:35-03:00,,Created by AWS Lambda,,[],,devportal-backend-Key,,"[""arn:aws:apigateway:us-east-1::/apikeys/zt46zochqe""]",aws,us-east-1,800735908691,aws_cscprd,"{""connection_name"":""aws_cscprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_cscprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
pep-mobile,jey9apmw80,true,2022-03-30T20:24:13-03:00,2022-03-30T20:24:13-03:00,,,,[],,pep-mobile,,"[""arn:aws:apigateway:us-east-1::/apikeys/jey9apmw80""]",aws,us-east-1,800735908691,aws_cscprd,"{""connection_name"":""aws_cscprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_cscprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
ris-data,8tp8kfx9k6,false,2021-02-01T18:52:16-03:00,2021-10-21T16:53:08-03:00,,Chave para o método de ingestão dos dados Ris,,[],,ris-data,,"[""arn:aws:apigateway:us-east-1::/apikeys/8tp8kfx9k6""]",aws,us-east-1,308676119841,aws_datalakeprd,"{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
carestream,o5jcilqgdh,true,2020-12-02T13:33:03-03:00,2020-12-02T14:35:06-03:00,,Chave para acesso da equipe carestream ao lambda.,,[],,carestream,,"[""arn:aws:apigateway:us-east-1::/apikeys/o5jcilqgdh""]",aws,us-east-1,308676119841,aws_datalakeprd,"{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
ris-data-current,2uccr4gkt7,true,2021-10-21T16:53:28-03:00,2021-10-21T16:53:28-03:00,,,,[],,ris-data-current,,"[""arn:aws:apigateway:us-east-1::/apikeys/2uccr4gkt7""]",aws,us-east-1,308676119841,aws_datalakeprd,"{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
risANData,tig7ohj32i,true,2023-03-06T12:36:14-03:00,2023-03-06T12:36:14-03:00,,,,[],,risANData,,"[""arn:aws:apigateway:us-east-1::/apikeys/tig7ohj32i""]",aws,us-east-1,308676119841,aws_datalakeprd,"{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
unmask,1d00h5trre,true,2021-10-14T18:10:26-03:00,2021-10-14T18:10:26-03:00,,,,[],,unmask,,"[""arn:aws:apigateway:us-east-1::/apikeys/1d00h5trre""]",aws,us-east-1,308676119841,aws_datalakeprd,"{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
key-no-show,jp0bvfxtah,true,2020-10-20T17:59:00-03:00,2020-10-20T17:59:00-03:00,,api key do no show,,[],,key-no-show,,"[""arn:aws:apigateway:us-east-1::/apikeys/jp0bvfxtah""]",aws,us-east-1,308676119841,aws_datalakeprd,"{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
